t,x,y
14.745,3.696759,15.87579
14.76,22.460814,4.900578
14.775,22.413827,4.896325
14.79,17.171125,12.083353
14.805,15.410794,5.550956
14.82,17.173954,12.125718
14.835,20.020508,24.504689
14.85,3.743348,13.469271
14.865,21.993892,12.885917
14.88,11.204325,5.874701
14.895,11.840332,13.592957
14.91,20.098949,9.271064
14.925,16.500809,3.037192
14.94,15.450747,5.471359
14.955,1.419849,15.327949
14.97,21.989209,6.113646
14.985,17.771379,24.240926
15.0,21.980637,6.000588
